REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU;filter_$
64;1;214;1;0;1;1;1;1
24;0;184;1;0;1;1;0;0
24;0;182;1;0;1;1;0;0
24;0;196;0;0;1;1;0;0
24;0;197;1;0;1;1;0;0
24;0;182;0;0;1;1;0;0
24;0;196;1;0;1;1;0;0
24;0;201;0;0;1;1;0;0
24;0;196;1;0;1;1;0;0
24;0;201;0;0;1;1;0;0
24;0;219;1;0;1;1;0;1
24;0;220;0;0;1;1;0;1
24;0;205;1;0;0;1;0;0
79;0;212;0;0;1;1;0;0
105;0;179;0;0;0;1;0;1
79;0;204;1;0;1;1;1;0
105;0;175;1;0;0;0;0;0
79;0;192;0;0;1;1;1;0
79;0;197;1;0;1;1;0;0
79;0;196;0;0;1;1;0;0
28;0;171;0;0;1;1;0;0
28;0;193;0;0;1;1;0;0
50;0;187;0;0;0;0;0;1
50;0;214;0;0;0;0;1;0
79;0;223;1;0;1;1;1;0
79;0;175;0;0;1;1;0;0
79;0;190;0;0;1;1;0;0
79;0;214;1;0;1;1;0;0
79;0;179;0;0;1;1;0;0
79;0;197;0;0;1;1;0;0
79;0;193;0;0;1;1;0;0
58;0;184;0;0;0;0;0;1
24;0;214;0;0;1;1;1;0
565;0;236;0;0;0;0;1;1
565;0;229;1;0;0;0;1;0
565;0;209;0;0;0;0;1;0
565;0;209;1;0;0;0;0;1
24;0;196;0;0;0;0;0;0
24;0;216;1;0;1;1;0;0
24;0;237;1;1;1;1;1;1
24;0;215;0;0;1;1;0;0
24;0;229;0;0;1;1;0;0
24;0;199;1;0;1;1;0;0
79;0;192;0;0;1;1;1;0
79;0;196;0;0;1;1;0;0
28;0;226;1;0;1;1;0;0
48;0;190;0;0;1;1;0;0
79;0;195;0;0;1;1;0;0
79;0;188;0;0;1;1;0;0
36;1;179;0;0;0;1;0;0
36;1;226;1;0;0;1;0;0
36;1;180;0;0;0;1;0;0
36;1;199;0;0;0;0;1;0
36;1;177;0;0;0;0;0;0
36;1;210;0;0;0;0;1;0
36;1;198;0;0;0;1;0;0
36;1;184;1;0;0;0;0;0
36;1;190;1;0;0;0;0;0
48;0;554;0;0;1;0;1;0
277;0;234;1;0;0;0;0;1
58;0;214;0;0;1;1;0;0
41;1;185;0;0;0;0;0;0
58;0;267;1;0;0;0;0;0
58;0;176;0;0;0;0;0;0
143;0;191;1;0;0;0;0;0
65;0;200;1;0;1;1;0;0
65;0;180;0;0;1;0;0;0
65;0;190;0;0;0;0;0;0
30;0;177;0;0;0;0;0;0
48;0;192;1;0;1;1;0;0
48;0;191;0;0;1;1;0;0
48;0;182;1;0;1;1;1;0
56;1;223;0;0;0;1;1;1
56;1;184;0;0;0;0;0;0
56;1;198;0;0;0;0;0;0
48;0;223;1;0;0;0;0;0
565;0;196;0;0;1;1;0;0
565;0;202;1;0;1;1;0;0
565;0;202;1;0;1;1;0;0
565;0;208;0;0;1;1;0;0
92;0;186;1;0;1;1;0;1
92;0;204;1;0;1;1;0;0
92;0;197;0;0;1;1;0;0
92;0;178;1;0;1;1;0;0
92;0;208;0;0;0;0;0;0
58;0;263;0;0;0;0;0;0
41;1;207;1;0;0;0;0;0
767;0;337;0;0;0;0;0;0
767;0;196;0;0;0;0;0;0
767;0;193;0;0;0;0;0;0
41;1;216;0;0;1;0;0;0
30;0;184;0;0;1;0;0;0
30;0;180;0;0;0;0;0;0
30;0;181;1;0;1;1;0;0
30;0;199;1;0;1;1;0;0
30;0;197;0;0;1;1;0;0
751;1;188;0;0;1;1;1;0
751;1;190;0;0;1;1;0;0
30;0;195;0;0;1;1;0;0
64;1;189;1;0;1;1;0;0
64;1;213;0;0;1;1;0;0
64;1;183;0;0;0;0;0;0
64;1;181;1;0;1;1;0;0
64;1;214;1;0;1;1;0;0
565;0;198;0;0;0;0;1;0
12;0;203;1;0;0;1;0;0
12;0;205;1;0;0;1;0;0
565;0;207;1;0;0;0;0;0
92;0;211;1;0;1;1;0;1
92;0;201;1;0;0;0;0;0
187;0;172;0;0;1;1;0;0
187;0;172;0;0;0;0;0;0
187;0;174;0;0;1;1;0;0
187;0;208;1;0;0;0;0;1
25;0;185;1;0;0;1;0;0
194;0;214;1;0;0;0;0;0
25;0;260;0;0;1;1;0;0
25;0;218;1;0;1;1;1;0
25;0;201;1;0;1;1;1;0
43;0;198;0;0;1;1;0;0
751;1;184;0;0;1;1;0;0
30;0;192;1;0;0;0;0;0
751;1;183;0;0;0;0;0;0
751;1;176;1;0;0;0;0;0
751;1;262;0;0;0;0;1;0
35;0;229;1;0;1;1;0;0
164;0;205;1;0;1;1;0;0
43;0;173;0;0;0;1;0;1
565;0;236;1;0;0;0;1;1
565;0;193;1;0;0;0;0;1
565;0;200;0;0;0;0;0;1
65;0;171;0;0;1;1;0;0
65;0;198;0;0;1;1;0;0
65;0;200;1;0;1;1;0;0
43;0;195;1;0;1;1;0;0
43;0;180;1;0;1;0;0;0
43;0;175;1;0;1;1;0;0
43;0;180;1;0;1;1;1;0
43;0;185;0;0;1;1;0;0
43;0;187;0;0;1;1;0;0
53;0;178;0;0;0;0;0;0
53;0;241;1;0;0;0;1;0
53;0;190;1;0;0;0;0;0
53;0;196;0;0;0;0;1;0
43;0;224;0;0;1;1;0;0
41;1;215;1;0;0;0;0;1
43;0;213;1;0;1;1;0;0
41;1;214;0;0;1;1;0;0
41;1;196;0;0;0;0;0;0
41;1;189;0;0;0;0;0;0
